['10.0.0.4', '10.0.0.2']
3
iteration 16, phase 3, node 3, test accuracy = 84.42%
iteration 17, phase 3, node 3, test accuracy = 84.42%
iteration 18, phase 3, node 3, test accuracy = 84.42%
iteration 19, phase 3, node 3, test accuracy = 84.92%
iteration 20, phase 3, node 3, test accuracy = 84.92%
iteration 21, phase 3, node 3, test accuracy = 84.92%
iteration 22, phase 3, node 3, test accuracy = 85.43%
iteration 23, phase 3, node 3, test accuracy = 85.93%
iteration 24, phase 3, node 3, test accuracy = 85.93%
iteration 25, phase 3, node 3, test accuracy = 85.93%
iteration 26, phase 3, node 3, test accuracy = 85.93%
iteration 27, phase 3, node 3, test accuracy = 85.93%
iteration 28, phase 3, node 3, test accuracy = 85.93%
iteration 29, phase 3, node 3, test accuracy = 85.93%
iteration 30, phase 3, node 3, test accuracy = 86.43%
iteration 31, phase 3, node 3, test accuracy = 86.43%
iteration 32, phase 3, node 3, test accuracy = 86.43%
iteration 33, phase 3, node 3, test accuracy = 86.43%
iteration 34, phase 3, node 3, test accuracy = 86.43%
iteration 35, phase 3, node 3, test accuracy = 86.43%
iteration 36, phase 3, node 3, test accuracy = 86.43%
iteration 37, phase 3, node 3, test accuracy = 86.43%
iteration 38, phase 3, node 3, test accuracy = 86.43%
iteration 39, phase 3, node 3, test accuracy = 86.43%
iteration 40, phase 3, node 3, test accuracy = 86.93%
iteration 41, phase 3, node 3, test accuracy = 86.93%
iteration 42, phase 3, node 3, test accuracy = 86.93%
iteration 43, phase 3, node 3, test accuracy = 86.43%
iteration 44, phase 3, node 3, test accuracy = 86.43%
iteration 45, phase 3, node 3, test accuracy = 86.43%
iteration 46, phase 3, node 3, test accuracy = 86.43%
iteration 47, phase 3, node 3, test accuracy = 86.43%
iteration 48, phase 3, node 3, test accuracy = 86.43%
iteration 49, phase 3, node 3, test accuracy = 86.43%
iteration 0, phase 4, node 3, test accuracy = 69.35%
iteration 1, phase 4, node 3, test accuracy = 74.37%
iteration 2, phase 4, node 3, test accuracy = 74.87%
iteration 3, phase 4, node 3, test accuracy = 75.38%
iteration 4, phase 4, node 3, test accuracy = 76.38%
iteration 5, phase 4, node 3, test accuracy = 78.89%
iteration 6, phase 4, node 3, test accuracy = 80.40%
iteration 7, phase 4, node 3, test accuracy = 80.40%
iteration 8, phase 4, node 3, test accuracy = 80.90%
iteration 9, phase 4, node 3, test accuracy = 82.41%
iteration 10, phase 4, node 3, test accuracy = 83.92%
iteration 11, phase 4, node 3, test accuracy = 83.92%
iteration 12, phase 4, node 3, test accuracy = 84.42%
iteration 13, phase 4, node 3, test accuracy = 84.92%
iteration 14, phase 4, node 3, test accuracy = 84.92%
iteration 15, phase 4, node 3, test accuracy = 84.92%
iteration 16, phase 4, node 3, test accuracy = 84.92%
iteration 17, phase 4, node 3, test accuracy = 84.92%
iteration 18, phase 4, node 3, test accuracy = 84.92%
iteration 19, phase 4, node 3, test accuracy = 84.92%
iteration 20, phase 4, node 3, test accuracy = 84.92%
iteration 21, phase 4, node 3, test accuracy = 84.42%
iteration 22, phase 4, node 3, test accuracy = 84.42%
iteration 23, phase 4, node 3, test accuracy = 84.42%
iteration 24, phase 4, node 3, test accuracy = 84.42%
iteration 25, phase 4, node 3, test accuracy = 84.42%
iteration 26, phase 4, node 3, test accuracy = 84.42%
iteration 27, phase 4, node 3, test accuracy = 84.42%
iteration 28, phase 4, node 3, test accuracy = 84.42%
iteration 29, phase 4, node 3, test accuracy = 84.92%
iteration 30, phase 4, node 3, test accuracy = 84.92%
iteration 31, phase 4, node 3, test accuracy = 85.43%
iteration 32, phase 4, node 3, test accuracy = 85.43%
iteration 33, phase 4, node 3, test accuracy = 85.43%
iteration 34, phase 4, node 3, test accuracy = 85.43%
iteration 35, phase 4, node 3, test accuracy = 85.43%
iteration 36, phase 4, node 3, test accuracy = 85.43%
iteration 37, phase 4, node 3, test accuracy = 85.43%
iteration 38, phase 4, node 3, test accuracy = 85.43%
iteration 39, phase 4, node 3, test accuracy = 85.43%
iteration 40, phase 4, node 3, test accuracy = 85.43%
iteration 41, phase 4, node 3, test accuracy = 85.43%
iteration 42, phase 4, node 3, test accuracy = 85.43%
iteration 43, phase 4, node 3, test accuracy = 85.43%
iteration 44, phase 4, node 3, test accuracy = 85.93%
iteration 45, phase 4, node 3, test accuracy = 85.93%
iteration 46, phase 4, node 3, test accuracy = 85.93%
iteration 47, phase 4, node 3, test accuracy = 86.43%
iteration 48, phase 4, node 3, test accuracy = 86.43%
iteration 49, phase 4, node 3, test accuracy = 86.43%
iteration 0, phase 5, node 3, test accuracy = 71.86%
iteration 1, phase 5, node 3, test accuracy = 75.88%
iteration 2, phase 5, node 3, test accuracy = 76.88%
iteration 3, phase 5, node 3, test accuracy = 77.89%
iteration 4, phase 5, node 3, test accuracy = 78.89%
iteration 5, phase 5, node 3, test accuracy = 79.90%
iteration 6, phase 5, node 3, test accuracy = 80.40%
iteration 7, phase 5, node 3, test accuracy = 80.90%
iteration 8, phase 5, node 3, test accuracy = 81.41%
iteration 9, phase 5, node 3, test accuracy = 82.91%
iteration 10, phase 5, node 3, test accuracy = 83.42%
iteration 11, phase 5, node 3, test accuracy = 83.92%
iteration 12, phase 5, node 3, test accuracy = 83.92%
iteration 13, phase 5, node 3, test accuracy = 83.92%
iteration 14, phase 5, node 3, test accuracy = 83.92%
iteration 15, phase 5, node 3, test accuracy = 83.92%
iteration 16, phase 5, node 3, test accuracy = 83.92%
iteration 17, phase 5, node 3, test accuracy = 83.92%
iteration 18, phase 5, node 3, test accuracy = 83.92%
iteration 19, phase 5, node 3, test accuracy = 83.92%
iteration 20, phase 5, node 3, test accuracy = 83.92%
iteration 21, phase 5, node 3, test accuracy = 84.42%
iteration 22, phase 5, node 3, test accuracy = 84.42%
iteration 23, phase 5, node 3, test accuracy = 84.92%
iteration 24, phase 5, node 3, test accuracy = 84.92%
iteration 25, phase 5, node 3, test accuracy = 84.92%
iteration 26, phase 5, node 3, test accuracy = 84.92%
iteration 27, phase 5, node 3, test accuracy = 84.42%
iteration 28, phase 5, node 3, test accuracy = 84.92%
iteration 29, phase 5, node 3, test accuracy = 84.92%
iteration 30, phase 5, node 3, test accuracy = 84.92%
iteration 31, phase 5, node 3, test accuracy = 84.92%
iteration 32, phase 5, node 3, test accuracy = 84.92%
iteration 33, phase 5, node 3, test accuracy = 84.92%
iteration 34, phase 5, node 3, test accuracy = 84.92%
iteration 35, phase 5, node 3, test accuracy = 84.92%
iteration 36, phase 5, node 3, test accuracy = 84.92%
iteration 37, phase 5, node 3, test accuracy = 84.92%
iteration 38, phase 5, node 3, test accuracy = 84.92%
iteration 39, phase 5, node 3, test accuracy = 84.92%
iteration 40, phase 5, node 3, test accuracy = 84.92%
iteration 41, phase 5, node 3, test accuracy = 84.92%
iteration 42, phase 5, node 3, test accuracy = 84.92%
iteration 43, phase 5, node 3, test accuracy = 84.42%
iteration 44, phase 5, node 3, test accuracy = 84.42%
iteration 45, phase 5, node 3, test accuracy = 84.42%
iteration 46, phase 5, node 3, test accuracy = 84.42%
iteration 47, phase 5, node 3, test accuracy = 84.42%
iteration 48, phase 5, node 3, test accuracy = 84.42%
iteration 49, phase 5, node 3, test accuracy = 84.42%
iteration 0, phase 6, node 3, test accuracy = 73.37%
iteration 1, phase 6, node 3, test accuracy = 76.38%
iteration 2, phase 6, node 3, test accuracy = 77.89%
iteration 3, phase 6, node 3, test accuracy = 78.89%
iteration 4, phase 6, node 3, test accuracy = 79.40%
iteration 5, phase 6, node 3, test accuracy = 79.40%
iteration 6, phase 6, node 3, test accuracy = 79.40%
iteration 7, phase 6, node 3, test accuracy = 79.90%
iteration 8, phase 6, node 3, test accuracy = 80.90%
iteration 9, phase 6, node 3, test accuracy = 81.91%
iteration 10, phase 6, node 3, test accuracy = 82.41%
iteration 11, phase 6, node 3, test accuracy = 82.91%
iteration 12, phase 6, node 3, test accuracy = 83.92%
iteration 13, phase 6, node 3, test accuracy = 84.92%
iteration 14, phase 6, node 3, test accuracy = 84.92%
iteration 15, phase 6, node 3, test accuracy = 84.92%
iteration 16, phase 6, node 3, test accuracy = 85.43%
iteration 17, phase 6, node 3, test accuracy = 85.43%
iteration 18, phase 6, node 3, test accuracy = 85.43%
iteration 19, phase 6, node 3, test accuracy = 85.43%
iteration 20, phase 6, node 3, test accuracy = 85.43%
iteration 21, phase 6, node 3, test accuracy = 85.43%
iteration 22, phase 6, node 3, test accuracy = 85.43%
iteration 23, phase 6, node 3, test accuracy = 85.43%
iteration 24, phase 6, node 3, test accuracy = 85.43%
iteration 25, phase 6, node 3, test accuracy = 85.43%
iteration 26, phase 6, node 3, test accuracy = 85.43%
iteration 27, phase 6, node 3, test accuracy = 85.43%
iteration 28, phase 6, node 3, test accuracy = 85.43%
iteration 29, phase 6, node 3, test accuracy = 85.93%
iteration 30, phase 6, node 3, test accuracy = 85.93%
iteration 31, phase 6, node 3, test accuracy = 85.93%
iteration 32, phase 6, node 3, test accuracy = 85.93%
iteration 33, phase 6, node 3, test accuracy = 85.93%
iteration 34, phase 6, node 3, test accuracy = 85.93%
iteration 35, phase 6, node 3, test accuracy = 85.93%
iteration 36, phase 6, node 3, test accuracy = 85.93%
iteration 37, phase 6, node 3, test accuracy = 85.93%
iteration 38, phase 6, node 3, test accuracy = 85.93%
iteration 39, phase 6, node 3, test accuracy = 85.93%
iteration 40, phase 6, node 3, test accuracy = 85.93%
iteration 41, phase 6, node 3, test accuracy = 85.93%
iteration 42, phase 6, node 3, test accuracy = 85.93%
iteration 43, phase 6, node 3, test accuracy = 85.93%
iteration 44, phase 6, node 3, test accuracy = 85.93%
iteration 45, phase 6, node 3, test accuracy = 85.93%
iteration 46, phase 6, node 3, test accuracy = 86.43%
iteration 47, phase 6, node 3, test accuracy = 86.43%
iteration 48, phase 6, node 3, test accuracy = 86.43%
iteration 49, phase 6, node 3, test accuracy = 86.43%
iteration 0, phase 7, node 3, test accuracy = 71.86%
iteration 1, phase 7, node 3, test accuracy = 76.38%
iteration 2, phase 7, node 3, test accuracy = 77.89%
iteration 3, phase 7, node 3, test accuracy = 79.40%
iteration 4, phase 7, node 3, test accuracy = 81.41%
iteration 5, phase 7, node 3, test accuracy = 81.41%
iteration 6, phase 7, node 3, test accuracy = 81.91%
iteration 7, phase 7, node 3, test accuracy = 82.91%
iteration 8, phase 7, node 3, test accuracy = 83.42%
iteration 9, phase 7, node 3, test accuracy = 83.92%
iteration 10, phase 7, node 3, test accuracy = 83.92%
iteration 11, phase 7, node 3, test accuracy = 83.92%
iteration 12, phase 7, node 3, test accuracy = 83.92%
iteration 13, phase 7, node 3, test accuracy = 84.42%
iteration 14, phase 7, node 3, test accuracy = 84.42%
iteration 15, phase 7, node 3, test accuracy = 84.92%
iteration 16, phase 7, node 3, test accuracy = 84.92%
